ip_address,hostname,fqdn,region,status,vendor,model,role,missing_in_inventory,missing_in_ipam
10.30.112.75,SEAWAED34,SEAWAED34.west.lightspeed.net,west,active,RAD,ETX-2,edge,0,0
10.70.136.251,GEGWADS36,GEGWADS36.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist,1,0
10.70.51.160,GEGWADS58,GEGWADS58.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist,1,0
10.60.217.8,BOSMAAG20,BOSMAAG20.northeast.lightspeed.net,northeast,active,Arista,7280R,agg,0,0
10.30.242.184,LAXCASW29,LAXCASW29.west.lightspeed.net,west,degraded,Cisco,Catalyst9300,sw,0,0
10.10.41.156,OKCOKDS84,OKCOKDS84.central.lightspeed.net,central,active,ADVA,FSP150,dist,1,0
10.70.135.160,GEGWASW53,GEGWASW53.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw,0,0
10.50.25.217,PHXAZED65,PHXAZED65.southwest.lightspeed.net,southwest,active,RAD,ETX-2,edge,0,0
10.10.137.28,AUSTXSW01,AUSTXSW01.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw,0,0
10.30.144.14,SFOCASW36,SFOCASW36.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0
10.60.43.41,PHLPASW47,PHLPASW47.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0
10.30.38.104,SEAWASW25,SEAWASW25.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0
10.10.9.30,DALTXSW18,DALTXSW18.central.lightspeed.net,central,degraded,Cisco,Catalyst9300,sw,0,0
10.30.253.204,SFOCADS65,SFOCADS65.west.lightspeed.net,west,degraded,ADVA,FSP150,dist,1,0
10.60.142.151,BOSMART15,BOSMART15.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0
10.60.60.25,PHLPADS23,PHLPADS23.northeast.lightspeed.net,northeast,degraded,Juniper,QFX5120,dist,1,0
10.70.49.214,GEGWAED65,GEGWAED65.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,0,0
10.20.28.244,CLTNCDS21,CLTNCDS21.east.lightspeed.net,east,active,ADVA,FSP150,dist,1,0
10.40.175.242,JAXFLRT12,JAXFLRT12.southeast.lightspeed.net,southeast,active,Arista,7050X3,rtr,0,0
10.70.243.168,PORORCO26,PORORCO26.northwest.lightspeed.net,northwest,active,Juniper,MX204,core,0,0
10.20.254.163,CLTNCSW77,CLTNCSW77.east.lightspeed.net,east,active,Cisco,Catalyst9300,sw,0,0
10.70.25.42,BOIIDRT25,BOIIDRT25.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0
10.40.47.194,BNATNAG44,BNATNAG44.southeast.lightspeed.net,southeast,degraded,ADVA,FSP3000,agg,0,0
10.70.90.188,PORORSW67,PORORSW67.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw,0,0
10.30.68.227,LAXCAED92,LAXCAED92.west.lightspeed.net,west,active,Cisco,ISR4431,edge,0,0
10.70.160.70,PORORRT03,PORORRT03.northwest.lightspeed.net,northwest,degraded,Arista,7050X3,rtr,0,0
10.70.148.126,PORORED41,PORORED41.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,0,0
10.20.196.135,ATLGADS53,ATLGADS53.east.lightspeed.net,east,active,ADVA,FSP150,dist,1,0
10.10.235.145,OKCOKED29,OKCOKED29.central.lightspeed.net,central,retired,Juniper,SRX345,edge,0,0
10.10.205.157,DALTXDS29,DALTXDS29.central.lightspeed.net,central,degraded,Juniper,QFX5120,dist,1,0
10.60.176.132,PHLPACO38,PHLPACO38.northeast.lightspeed.net,northeast,active,Cisco,NCS540,core,0,0
10.30.77.243,SFOCASW17,SFOCASW17.west.lightspeed.net,west,down,Cisco,Catalyst9300,sw,0,1
10.50.83.14,PHXAZRT84,PHXAZRT84.southwest.lightspeed.net,southwest,active,Arista,7050X3,rtr,0,0
10.70.73.197,GEGWAAG63,GEGWAAG63.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,agg,0,0
10.60.129.12,NYCNYRT25,NYCNYRT25.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0
10.50.64.150,ELPTXED10,ELPTXED10.southwest.lightspeed.net,southwest,active,Cisco,ISR4431,edge,0,0
10.70.205.238,GEGWAED70,GEGWAED70.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0
10.10.70.201,OKCOKED61,OKCOKED61.central.lightspeed.net,central,active,RAD,ETX-2,edge,0,0
10.70.113.52,BOIIDRT78,BOIIDRT78.northwest.lightspeed.net,northwest,degraded,Arista,7050X3,rtr,0,0
10.60.107.43,BOSMACO96,BOSMACO96.northeast.lightspeed.net,northeast,degraded,Nokia,7750 SR-1,core,0,0
10.60.16.246,PHLPART83,PHLPART83.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0
10.50.148.181,PHXAZSW76,PHXAZSW76.southwest.lightspeed.net,southwest,active,Cisco,Catalyst9300,sw,0,0
10.70.59.40,GEGWASW15,GEGWASW15.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0
10.70.209.228,PORORRT04,PORORRT04.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0
10.40.34.52,BNATNDS23,BNATNDS23.southeast.lightspeed.net,southeast,active,ADVA,FSP150,dist,1,0
10.10.170.72,AUSTXSW34,AUSTXSW34.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw,0,0
10.40.242.49,JAXFLED57,JAXFLED57.southeast.lightspeed.net,southeast,active,Juniper,SRX345,edge,0,0
10.70.78.212,GEGWADS13,GEGWADS13.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist,1,0
10.70.131.197,BOIIDSW99,BOIIDSW99.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0
10.40.135.152,BNATNCO46,BNATNCO46.southeast.lightspeed.net,southeast,degraded,Nokia,7750 SR-1,core,0,0
10.30.20.245,LAXCADS90,LAXCADS90.west.lightspeed.net,west,active,Juniper,QFX5120,dist,1,0
10.30.37.110,LAXCADS29,LAXCADS29.west.lightspeed.net,west,active,ADVA,FSP150,dist,1,1
10.30.116.38,LAXCADS41,LAXCADS41.west.lightspeed.net,west,active,ADVA,FSP150,dist,1,0
10.70.101.81,BOIIDAG30,BOIIDAG30.northwest.lightspeed.net,northwest,active,Arista,7280R,agg,0,0
10.20.165.63,PITPADS81,PITPADS81.east.lightspeed.net,east,active,Juniper,QFX5120,dist,1,0
10.60.214.224,NYCNYDS08,NYCNYDS08.northeast.lightspeed.net,northeast,retired,Juniper,QFX5120,dist,1,0
10.30.205.160,LAXCACO21,LAXCACO21.west.lightspeed.net,west,active,Juniper,MX204,core,0,0
10.30.152.255,SEAWAED95,SEAWAED95.west.lightspeed.net,west,active,RAD,ETX-2,edge,0,1
10.10.165.80,OKCOKED78,OKCOKED78.central.lightspeed.net,central,active,RAD,ETX-2,edge,0,0
10.60.28.14,BOSMAED49,BOSMAED49.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,0,0
10.70.191.10,BOIIDED04,BOIIDED04.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2,edge,0,0
10.60.200.61,PHLPAED19,PHLPAED19.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,0,0
10.60.200.176,PHLPART27,PHLPART27.northeast.lightspeed.net,northeast,degraded,Arista,7050X3,rtr,0,0
10.60.165.126,BOSMAED24,BOSMAED24.northeast.lightspeed.net,northeast,degraded,Juniper,SRX345,edge,0,0
10.20.182.33,ATLGAED07,ATLGAED07.east.lightspeed.net,east,degraded,RAD,ETX-2,edge,0,0
10.10.77.125,DALTXDS87,DALTXDS87.central.lightspeed.net,central,retired,Juniper,QFX5120,dist,1,0
10.70.77.60,GEGWASW52,GEGWASW52.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0
10.10.109.20,OKCOKED97,OKCOKED97.central.lightspeed.net,central,degraded,RAD,ETX-2,edge,0,0
10.70.139.46,BOIIDED93,BOIIDED93.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,0,0
10.30.51.209,LAXCAED52,LAXCAED52.west.lightspeed.net,west,active,RAD,ETX-2,edge,0,0
10.30.34.212,SEAWAAG79,SEAWAAG79.west.lightspeed.net,west,active,Arista,7280R,agg,0,0
10.70.200.122,BOIIDDS62,BOIIDDS62.northwest.lightspeed.net,northwest,down,ADVA,FSP150,dist,1,0
10.60.222.243,NYCNYED92,NYCNYED92.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,0,0
10.60.184.148,NYCNYED60,NYCNYED60.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,0,0
10.20.119.130,ATLGAED83,ATLGAED83.east.lightspeed.net,east,active,Cisco,ISR4431,edge,0,0
10.40.217.112,MIAFLDS96,MIAFLDS96.southeast.lightspeed.net,southeast,degraded,Juniper,QFX5120,dist,1,0
10.10.227.157,OKCOKED74,OKCOKED74.central.lightspeed.net,central,active,Juniper,SRX345,edge,0,0
10.70.7.210,BOIIDED50,BOIIDED50.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0
10.70.227.53,PORORED78,PORORED78.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge,0,0
10.70.82.165,BOIIDED48,BOIIDED48.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge,0,0
10.10.133.120,OKCOKSW92,OKCOKSW92.central.lightspeed.net,central,degraded,Cisco,Catalyst9300,sw,0,0
10.20.247.190,ATLGASW72,ATLGASW72.east.lightspeed.net,east,active,Cisco,Catalyst9300,sw,0,0
10.10.52.69,DALTXSW17,DALTXSW17.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw,0,0
10.20.75.12,CLTNCED04,CLTNCED04.east.lightspeed.net,east,active,RAD,ETX-2,edge,0,0
10.10.116.190,AUSTXAG52,AUSTXAG52.central.lightspeed.net,central,active,ADVA,FSP3000,agg,0,0
10.70.33.173,GEGWASW38,GEGWASW38.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0
10.70.58.13,BOIIDDS97,BOIIDDS97.northwest.lightspeed.net,northwest,retired,Juniper,QFX5120,dist,1,0
10.60.19.80,PHLPADS16,PHLPADS16.northeast.lightspeed.net,northeast,active,Juniper,QFX5120,dist,0,0
10.30.236.250,LAXCAED26,LAXCAED26.west.lightspeed.net,west,active,RAD,ETX-2,edge,0,1
10.60.62.252,PHLPAED66,PHLPAED66.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,0,0
10.60.191.132,NYCNYSW87,NYCNYSW87.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0
10.60.42.198,BOSMAED22,BOSMAED22.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,edge,0,0
10.10.226.247,AUSTXRT99,AUSTXRT99.central.lightspeed.net,central,active,Arista,7050X3,rtr,0,0
10.30.250.176,LAXCACO05,LAXCACO05.west.lightspeed.net,west,degraded,Juniper,MX204,core,0,0
10.20.96.0,PITPAED11,PITPAED11.east.lightspeed.net,east,degraded,Juniper,SRX345,edge,0,0
10.60.16.170,NYCNYED53,NYCNYED53.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,0,0
10.70.230.16,GEGWADS35,GEGWADS35.northwest.lightspeed.net,northwest,degraded,Juniper,QFX5120,dist,1,0
10.50.222.128,PHXAZSW45,PHXAZSW45.southwest.lightspeed.net,southwest,active,Cisco,Catalyst9300,sw,0,0
10.30.65.49,SEAWAED96,SEAWAED96.west.lightspeed.net,west,active,RAD,ETX-2,edge,0,0
10.70.90.15,PORORRT59,PORORRT59.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0
10.50.130.207,ABQNMED39,ABQNMED39.southwest.lightspeed.net,southwest,active,Cisco,ISR4431,edge,0,0
10.40.6.232,BNATNSW76,BNATNSW76.southeast.lightspeed.net,southeast,active,Cisco,Catalyst9300,sw,0,0
10.10.92.128,OKCOKSW61,OKCOKSW61.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw,0,0
10.30.40.85,SEAWAED89,SEAWAED89.west.lightspeed.net,west,active,RAD,ETX-2,edge,0,0
10.30.225.109,LAXCASW32,LAXCASW32.west.lightspeed.net,west,degraded,Cisco,Catalyst9300,sw,0,0
10.70.77.44,PORORED98,PORORED98.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0
10.70.31.116,GEGWAED90,GEGWAED90.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge,0,0
10.30.151.105,SFOCART97,SFOCART97.west.lightspeed.net,west,active,Arista,7050X3,rtr,0,1
10.70.150.148,PORORSW58,PORORSW58.northwest.lightspeed.net,northwest,retired,Cisco,Catalyst9300,sw,1,0
10.30.136.148,LAXCASW02,LAXCASW02.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0
10.30.165.160,SFOCASW26,SFOCASW26.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0
10.10.137.117,OKCOKED75,OKCOKED75.central.lightspeed.net,central,active,Cisco,ISR4431,edge,0,0
10.60.10.83,BOSMACO97,BOSMACO97.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1,core,0,0
10.60.224.128,BOSMADS08,BOSMADS08.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,1,0
10.20.15.76,CLTNCRT33,CLTNCRT33.east.lightspeed.net,east,degraded,Arista,7050X3,rtr,0,0
10.70.49.55,BOIIDDS98,BOIIDDS98.northwest.lightspeed.net,northwest,degraded,Juniper,QFX5120,dist,1,0
10.40.202.98,MIAFLDS90,MIAFLDS90.southeast.lightspeed.net,southeast,active,Juniper,QFX5120,dist,1,0
10.70.106.133,PORORRT11,PORORRT11.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0
10.70.58.120,BOIIDSW16,BOIIDSW16.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0
10.70.150.149,PORORAG79,PORORAG79.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,agg,0,0
10.70.207.104,BOIIDRT34,BOIIDRT34.northwest.lightspeed.net,northwest,down,Arista,7050X3,rtr,0,0
10.20.219.43,PITPAED88,PITPAED88.east.lightspeed.net,east,active,Cisco,ISR4431,edge,0,0
10.60.39.163,NYCNYDS92,NYCNYDS92.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150,dist,1,0
10.30.151.242,SFOCAAG08,SFOCAAG08.west.lightspeed.net,west,degraded,Arista,7280R,agg,0,0
10.30.3.63,SEAWASW57,SEAWASW57.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0
10.30.202.26,LAXCADS25,LAXCADS25.west.lightspeed.net,west,active,Juniper,QFX5120,dist,1,0
10.70.178.53,BOIIDRT32,BOIIDRT32.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0
10.60.56.144,NYCNYSW79,NYCNYSW79.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0
10.20.168.26,PITPADS55,PITPADS55.east.lightspeed.net,east,degraded,ADVA,FSP150,dist,0,0
10.60.178.227,PHLPADS62,PHLPADS62.northeast.lightspeed.net,northeast,degraded,Juniper,QFX5120,dist,1,0
10.70.99.233,PORORDS28,PORORDS28.northwest.lightspeed.net,northwest,degraded,Juniper,QFX5120,dist,1,0
10.70.73.43,BOIIDDS79,BOIIDDS79.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist,0,0
10.10.97.91,DALTXED07,DALTXED07.central.lightspeed.net,central,active,Juniper,SRX345,edge,0,0
10.70.147.31,PORORED49,PORORED49.northwest.lightspeed.net,northwest,retired,RAD,ETX-2,edge,0,0
10.10.81.151,DALTXSW70,DALTXSW70.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw,0,0
10.30.162.37,LAXCADS79,LAXCADS79.west.lightspeed.net,west,degraded,ADVA,FSP150,dist,1,1
10.70.150.6,PORORAG80,PORORAG80.northwest.lightspeed.net,northwest,active,Arista,7280R,agg,0,0
10.40.27.178,BNATNAG77,BNATNAG77.southeast.lightspeed.net,southeast,active,ADVA,FSP3000,agg,0,0
10.70.170.115,PORORED94,PORORED94.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0
10.70.207.129,BOIIDED21,BOIIDED21.northwest.lightspeed.net,northwest,degraded,Juniper,SRX345,edge,0,0
10.70.133.106,BOIIDDS61,BOIIDDS61.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist,1,0
10.20.178.235,ATLGASW59,ATLGASW59.east.lightspeed.net,east,active,Cisco,Catalyst9300,sw,0,0
10.50.110.68,ABQNMED44,ABQNMED44.southwest.lightspeed.net,southwest,active,Cisco,ISR4431,edge,0,0
10.30.187.1,LAXCASW23,LAXCASW23.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,1
10.70.51.100,BOIIDDS51,BOIIDDS51.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist,1,0
10.60.70.223,BOSMASW34,BOSMASW34.northeast.lightspeed.net,northeast,retired,Cisco,Catalyst9300,sw,0,0
10.70.144.123,GEGWADS23,GEGWADS23.northwest.lightspeed.net,northwest,degraded,ADVA,FSP150,dist,1,0
10.70.134.8,PORORSW44,PORORSW44.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw,0,0
10.70.96.25,BOIIDED19,BOIIDED19.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,0,0
10.30.9.181,SEAWASW94,SEAWASW94.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,1
10.60.75.143,BOSMASW58,BOSMASW58.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0
10.70.7.251,PORORCO52,PORORCO52.northwest.lightspeed.net,northwest,active,Juniper,MX204,core,0,0
10.70.236.102,GEGWART17,GEGWART17.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0
10.50.231.230,ABQNMSW12,ABQNMSW12.southwest.lightspeed.net,southwest,degraded,Cisco,Catalyst9300,sw,0,0
10.20.207.142,ATLGACO61,ATLGACO61.east.lightspeed.net,east,active,Nokia,7750 SR-1,core,0,0
10.60.9.250,NYCNYDS25,NYCNYDS25.northeast.lightspeed.net,northeast,active,Juniper,QFX5120,dist,0,0
10.70.91.155,BOIIDAG61,BOIIDAG61.northwest.lightspeed.net,northwest,active,Arista,7280R,agg,0,0
10.10.95.110,AUSTXCO99,AUSTXCO99.central.lightspeed.net,central,active,Juniper,MX204,core,0,0
10.10.84.141,OKCOKSW22,OKCOKSW22.central.lightspeed.net,central,retired,Cisco,Catalyst9300,sw,0,0
10.60.173.41,BOSMART38,BOSMART38.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0
10.30.8.130,SFOCART66,SFOCART66.west.lightspeed.net,west,active,Arista,7050X3,rtr,0,1
10.70.176.231,PORORSW32,PORORSW32.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw,0,0
10.30.132.129,SEAWAED09,SEAWAED09.west.lightspeed.net,west,down,RAD,ETX-2,edge,0,0
10.10.49.122,AUSTXED82,AUSTXED82.central.lightspeed.net,central,active,RAD,ETX-2,edge,0,0
10.30.73.193,LAXCAED77,LAXCAED77.west.lightspeed.net,west,active,Cisco,ISR4431,edge,0,0
10.70.136.92,PORORSW50,PORORSW50.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0
10.10.102.214,DALTXAG95,DALTXAG95.central.lightspeed.net,central,degraded,ADVA,FSP3000,agg,0,0
10.70.72.51,BOIIDED80,BOIIDED80.northwest.lightspeed.net,northwest,degraded,Cisco,ISR4431,edge,0,0
10.10.193.225,DALTXED47,DALTXED47.central.lightspeed.net,central,active,Cisco,ISR4431,edge,0,0
10.30.127.124,SEAWADS14,SEAWADS14.west.lightspeed.net,west,down,Juniper,QFX5120,dist,0,0
10.30.164.18,SFOCASW61,SFOCASW61.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0
10.70.152.229,BOIIDED69,BOIIDED69.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge,0,0
10.10.174.166,OKCOKDS68,OKCOKDS68.central.lightspeed.net,central,active,Juniper,QFX5120,dist,1,0
10.60.159.111,NYCNYDS93,NYCNYDS93.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150,dist,1,0
10.70.208.198,BOIIDAG89,BOIIDAG89.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,agg,0,0
10.30.251.167,SFOCAED23,SFOCAED23.west.lightspeed.net,west,degraded,RAD,ETX-2,edge,0,0
10.70.88.36,GEGWAED02,GEGWAED02.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge,0,0
10.10.179.193,OKCOKAG39,OKCOKAG39.central.lightspeed.net,central,active,ADVA,FSP3000,agg,0,0
10.60.175.167,BOSMADS20,BOSMADS20.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,0,0
10.40.154.174,JAXFLDS02,JAXFLDS02.southeast.lightspeed.net,southeast,down,ADVA,FSP150,dist,0,0
10.60.133.121,NYCNYSW35,NYCNYSW35.northeast.lightspeed.net,northeast,down,Cisco,Catalyst9300,sw,0,0
10.40.17.35,MIAFLSW38,MIAFLSW38.southeast.lightspeed.net,southeast,active,Cisco,Catalyst9300,sw,0,0
10.70.45.229,PORORDS12,PORORDS12.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist,1,0
10.70.230.213,BOIIDDS46,BOIIDDS46.northwest.lightspeed.net,northwest,degraded,Juniper,QFX5120,dist,1,0
10.20.226.4,ATLGADS64,ATLGADS64.east.lightspeed.net,east,active,ADVA,FSP150,dist,1,0
10.70.180.61,GEGWAED78,GEGWAED78.northwest.lightspeed.net,northwest,down,Cisco,ISR4431,edge,0,0
10.60.219.90,NYCNYRT37,NYCNYRT37.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0
10.70.68.237,BOIIDED25,BOIIDED25.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0
10.60.119.116,BOSMADS49,BOSMADS49.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,1,0
10.20.57.195,ATLGADS15,ATLGADS15.east.lightspeed.net,east,active,Juniper,QFX5120,dist,1,0
10.70.143.133,PORORCO40,PORORCO40.northwest.lightspeed.net,northwest,active,Juniper,MX204,core,0,0
10.20.217.64,CLTNCRT17,CLTNCRT17.east.lightspeed.net,east,degraded,Arista,7050X3,rtr,0,0
10.60.9.113,NYCNYED44,NYCNYED44.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,0,0
10.30.73.2,LAXCAED37,LAXCAED37.west.lightspeed.net,west,down,RAD,ETX-2,edge,0,0
10.30.98.30,SEAWADS03,SEAWADS03.west.lightspeed.net,west,down,Juniper,QFX5120,dist,1,0
10.10.30.106,OKCOKRT30,OKCOKRT30.central.lightspeed.net,central,down,Arista,7050X3,rtr,0,0
10.20.67.80,ATLGASW36,ATLGASW36.east.lightspeed.net,east,down,Cisco,Catalyst9300,sw,0,0
10.60.220.4,BOSMAED03,BOSMAED03.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,0,0
10.30.168.118,LAXCADS82,LAXCADS82.west.lightspeed.net,west,active,ADVA,FSP150,dist,1,0
10.60.56.115,BOSMASW65,BOSMASW65.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0
10.60.128.234,NYCNYDS56,NYCNYDS56.northeast.lightspeed.net,northeast,active,Juniper,QFX5120,dist,1,0
10.50.122.48,PHXAZED91,PHXAZED91.southwest.lightspeed.net,southwest,degraded,Cisco,ISR4431,edge,0,0
10.20.209.60,CLTNCED76,CLTNCED76.east.lightspeed.net,east,active,RAD,ETX-2,edge,0,0
10.70.47.16,PORORED82,PORORED82.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge,0,0
10.10.95.189,AUSTXED51,AUSTXED51.central.lightspeed.net,central,active,Cisco,ISR4431,edge,0,0
10.70.11.146,GEGWAED36,GEGWAED36.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge,0,0
10.70.241.171,GEGWASW88,GEGWASW88.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0
10.30.158.19,SFOCAED83,SFOCAED83.west.lightspeed.net,west,active,RAD,ETX-2,edge,0,1
10.60.6.167,NYCNYED71,NYCNYED71.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,0,0
10.50.38.97,ELPTXDS90,ELPTXDS90.southwest.lightspeed.net,southwest,active,ADVA,FSP150,dist,1,0
